	0
C15780	yellow
K08371	yellow
K03760	blue
K09224	yellow
K02036	blue
K08069	yellow
K08123	yellow
K08377	yellow
K03750	blue
K13260	yellow
K03517	green
K04644	yellow
K25533	yellow
K12819	yellow
K23327	yellow
K08369	blue
K03756	blue
K08006	yellow
K07484	blue
K11714	yellow
K05646	yellow
K09517	yellow
K00976	yellow
C19812	yellow
K00849	green
K15044	yellow
K09542	yellow
K14540	blue
K06735	yellow
K06385	blue
K05601	blue
K27215	yellow
K06897	blue
K23608	yellow
K22419	yellow
K10436	yellow
K00752	yellow
K03264	yellow
K19682	yellow
K18208	yellow
K10406	yellow
K16765	yellow
K04303	yellow
K01490	yellow
K03778	blue
K07405	blue
K14454	yellow
K04892	yellow
K08987	blue
C00251	green
K27854	yellow
C00988	yellow
K17377	yellow
K10066	yellow
K03075	blue
K08533	yellow
K18266	yellow
K13152	yellow
C18237	green
K02227	blue
K03744	blue
K10405	yellow
K10980	yellow
K14293	yellow
K24942	yellow
K10657	yellow
K21471	blue
K11393	yellow
K07726	blue
K04026	blue
K11724	yellow
K20623	yellow
C02582	yellow
K23343	yellow
K22927	blue
C21999	blue
K01015	yellow
K16283	yellow
K11989	yellow
K22471	yellow
K05660	yellow
K03327	green
C20908	yellow
K19754	yellow
K27200	yellow
K24047	yellow
K13758	yellow
K00571	blue
C01161	yellow
K20729	yellow
K19118	blue
K04922	yellow
K15422	yellow
K07963	yellow
K09100	yellow
K21602	blue
K17567	yellow
K13223	yellow
C14827	yellow
K07019	yellow
K05641	yellow
K13122	yellow
K00255	yellow
K10099	yellow
K04301	yellow
K08114	yellow
K08273	yellow
C15672	yellow
K16340	yellow
C01268	green
K15542	yellow
K12557	yellow
K05106	yellow
K03150	blue
C02463	green
C00957	green
K23145	yellow
K18813	yellow
K24926	yellow
K03169	blue
K17108	yellow
K27342	yellow
K08289	blue
K06989	green
K14279	yellow
C14863	yellow
K06911	green
C01081	green
K11349	yellow
K11347	yellow
K01951	green
K12618	yellow
K26734	yellow
K16866	yellow
C20658	green
K14886	yellow
K18787	yellow
K24644	yellow
K03651	blue
C00328	yellow
K01128	yellow
C00005	green
K03987	yellow
K22594	yellow
K00461	yellow
K10281	yellow
K04143	yellow
C05504	yellow
K01546	blue
K14303	yellow
K25420	yellow
G00011	yellow
K06713	yellow
K16574	yellow
K04010	yellow
C21926	yellow
K05931	yellow
K00833	blue
K01878	blue
K05453	yellow
K07200	yellow
K02698	yellow
K12160	yellow
K14086	blue
C05512	green
G00014	yellow
K17697	yellow
C17743	yellow
K20665	yellow
K16299	blue
C01747	yellow
K02666	blue
K11825	yellow
K12641	yellow
C07490	green
K17548	yellow
K21916	yellow
K22072	yellow
K11673	yellow
C04039	green
K23221	yellow
K05290	yellow
K14998	yellow
K07882	yellow
K11278	yellow
K17941	yellow
K00913	yellow
K02219	yellow
K10481	yellow
C04295	yellow
K08202	yellow
K12337	yellow
C01079	yellow
K06555	yellow
K14274	blue
K00957	blue
K15442	yellow
K24352	yellow
K16975	yellow
K13868	yellow
K01854	blue
K13065	yellow
K09940	blue
C00944	green
K09874	yellow
K24318	yellow
K07515	yellow
K02210	yellow
C00226	yellow
G13093	yellow
K20724	yellow
K26409	yellow
C11874	yellow
K15620	yellow
K20404	yellow
K02019	blue
K16924	blue
K00971	blue
K02647	blue
K16087	blue
K04581	yellow
K05607	yellow
K24385	yellow
K09070	yellow
C22501	green
K10307	yellow
K24544	yellow
K16859	yellow
K04224	yellow
K11341	yellow
K17586	yellow
K24023	yellow
K14721	yellow
K08511	yellow
K13199	yellow
K01988	yellow
K12883	yellow
K26311	yellow
K25700	yellow
C20722	yellow
K05431	yellow
K27743	yellow
K20192	yellow
K14502	yellow
K05504	yellow
K04218	yellow
K11429	yellow
K14903	yellow
K11447	yellow
K17318	blue
K05699	yellow
K26099	yellow
C20390	blue
G00084	yellow
K03012	yellow
K16725	yellow
K19606	yellow
K16776	yellow
C16832	green
K16762	yellow
K05283	yellow
K05209	yellow
K23719	yellow
K26814	yellow
K08534	yellow
K17723	blue
K20461	blue
K02603	yellow
K13280	green
K10765	yellow
K04468	yellow
K09749	blue
K12200	yellow
K25513	yellow
K00659	yellow
K10138	yellow
K03097	yellow
K27314	yellow
K07828	yellow
K07109	blue
K09540	yellow
K21599	yellow
C08584	yellow
K06066	yellow
K00140	yellow
K22656	yellow
K05658	yellow
K06023	blue
C00361	green
K04664	yellow
K25229	yellow
K07424	yellow
K22639	yellow
K13130	yellow
K05112	yellow
K08245	yellow
K05462	yellow
K03259	yellow
C05276	yellow
K15177	yellow
K21947	blue
K11839	yellow
K10206	green
C00044	green
K27273	yellow
K16692	blue
K05090	yellow
C01205	green
K04761	blue
C16360	yellow
K18187	yellow
K25770	yellow
K11835	yellow
K23717	yellow
K03820	blue
K10576	yellow
K03656	blue
K07457	blue
K06611	yellow
K01627	green
K24470	yellow
K22736	green
K00865	blue
K15592	yellow
K10761	yellow
K00598	blue
K13927	blue
K11454	yellow
K01639	green
K23901	yellow
C00040	green
K26392	yellow
K26220	yellow
K08636	yellow
K04454	yellow
K11754	blue
K21347	yellow
K23971	yellow
K12003	yellow
C19771	blue
K05117	yellow
K00928	green
K14299	yellow
K17095	yellow
K17534	yellow
K20923	yellow
K20899	yellow
K03882	yellow
K04739	yellow
G00040	yellow
K08131	yellow
K24433	yellow
K10508	yellow
K07935	yellow
K00895	yellow
K25827	yellow
K01097	yellow
K26360	yellow
K19360	yellow
K25704	yellow
C15883	yellow
K10497	yellow
K15280	yellow
K02839	blue
K01737	green
K15639	yellow
K13146	yellow
K11495	yellow
K04538	yellow
K24064	yellow
K07089	blue
K02373	yellow
K12315	yellow
K02310	yellow
K26053	yellow
K16509	blue
C05852	yellow
K19684	yellow
K14014	yellow
K13865	yellow
K10458	yellow
K02953	yellow
K04834	yellow
C05822	blue
K05028	yellow
K10042	yellow
K01478	blue
K12663	yellow
K17471	yellow
C02198	yellow
K03313	blue
K17441	yellow
K05232	yellow
K09952	blue
C15501	yellow
K18241	yellow
C15781	yellow
C11406	blue
C15793	yellow
K12899	yellow
C16634	green
K23340	yellow
K02808	blue
K16832	yellow
K24188	yellow
K08573	yellow
K08282	blue
K06826	yellow
K23806	yellow
K04078	green
K01308	blue
K26216	yellow
K02439	blue
K03511	yellow
K00311	yellow
K17602	yellow
C20458	yellow
C05922	green
K12405	yellow
K07238	green
C22852	yellow
K18211	yellow
K14444	yellow
K23704	yellow
K16979	yellow
K03630	blue
K13863	yellow
K01547	blue
K05405	yellow
K07718	blue
K18440	yellow
K07874	yellow
K01926	blue
K07451	blue
K25206	yellow
K12382	yellow
K22563	yellow
K26480	yellow
K20398	yellow
K03007	yellow
K06330	blue
K02471	blue
K10798	yellow
K27686	yellow
K23850	yellow
K04028	blue
K27289	yellow
K07351	blue
K02760	blue
C01533	yellow
K10366	yellow
K02265	yellow
K15283	yellow
C18310	yellow
K14439	yellow
K16803	yellow
C01289	blue
G00146	yellow
C16164	yellow
C20676	green
K26106	yellow
K05219	yellow
K09797	blue
K26545	yellow
K16910	yellow
K03386	green
C00861	blue
K06965	yellow
K10988	yellow
K04596	yellow
K11438	yellow
K12229	yellow
K24518	yellow
K00736	yellow
K11266	yellow
K07953	yellow
K27114	yellow
K05402	yellow
K06579	yellow
K07148	blue
K10351	yellow
K04887	yellow
K07435	yellow
K23966	yellow
C16186	blue
K11041	blue
K14332	yellow
K00021	yellow
K12942	blue
K16540	yellow
K17632	yellow
C17570	yellow
K22584	yellow
K06768	yellow
C15794	yellow
K16810	yellow
K03009	yellow
K14294	yellow
K27888	yellow
K14391	yellow
K14885	yellow
K21844	yellow
K13108	yellow
K19760	yellow
K06223	blue
K02978	yellow
K07444	blue
K17356	yellow
K22230	blue
K14313	yellow
K24049	yellow
K18213	yellow
K19043	yellow
K24799	yellow
C02962	blue
K11069	blue
K19934	yellow
C01753	yellow
K07366	yellow
K00009	blue
K06171	yellow
K23541	yellow
K03885	green
C05993	green
K01843	blue
K07294	yellow
K00522	yellow
K15837	yellow
C04006	green
G00005	yellow
K00365	yellow
K17872	yellow
K01377	yellow
K25408	yellow
K11804	yellow
K06528	yellow
K26675	yellow
K06960	blue
K11274	yellow
C04938	yellow
K16976	yellow
K24996	yellow
K25732	yellow
K04198	yellow
K02148	yellow
K21914	yellow
K15263	yellow
K04519	yellow
C01190	green
K18665	yellow
K05010	yellow
K13094	yellow
K26404	yellow
K25832	yellow
K01067	yellow
C06025	green
K06127	yellow
K05592	blue
K00600	green
K26191	yellow
K13341	yellow
K08811	yellow
K01095	blue
K10638	yellow
K25355	yellow
K12318	yellow
K19626	yellow
K17530	yellow
G12396	yellow
K15180	yellow
K00783	green
K01681	green
K03614	blue
K17427	yellow
K03937	yellow
K27571	yellow
C02642	green
K14870	yellow
C06377	blue
K02778	blue
K19749	yellow
K06320	blue
K09974	blue
K19822	yellow
K17021	yellow
K11090	yellow
C17337	yellow
K27448	yellow
K02692	yellow
K14774	yellow
K06471	yellow
K06147	blue
K05139	yellow
K00348	blue
K22526	yellow
K24424	yellow
K14799	yellow
K01557	yellow
K07243	blue
K23863	yellow
K03234	yellow
K04857	yellow
K00813	blue
K07624	yellow
K02945	green
K21072	yellow
C04712	yellow
K12614	yellow
K27473	yellow
K10703	yellow
K24502	yellow
K15793	yellow
K22190	yellow
C00088	green
K04874	yellow
K00444	yellow
K20092	yellow
K07359	yellow
K00649	yellow
K14007	yellow
K23216	yellow
K01715	blue
C08614	yellow
K02110	green
K03803	blue
K19404	yellow
K10693	yellow
K07413	yellow
K25661	yellow
K08745	yellow
K03303	blue
K15720	yellow
K17868	yellow
K09910	blue
C03722	green
K08438	yellow
K04830	yellow
K25401	yellow
K03014	yellow
K17451	yellow
G00097	yellow
K16504	yellow
K26787	yellow
K23909	yellow
K04895	yellow
K12046	yellow
K04385	yellow
K00810	yellow
K19870	yellow
K14304	yellow
K03238	yellow
K15450	yellow
K09408	yellow
C04157	green
C05294	yellow
K11253	yellow
K03022	yellow
K07122	blue
K24260	yellow
G00125	yellow
K18752	yellow
C00069	green
K24810	yellow
K24068	yellow
K01940	green
K03743	blue
C14899	blue
K18643	yellow
K09201	yellow
K13173	yellow
C04501	green
K07299	yellow
C00325	yellow
K24963	yellow
K03953	yellow
K10492	yellow
K10844	yellow
K19719	yellow
K00185	blue
K04772	blue
K26109	yellow
K03991	yellow
K27711	yellow
K03369	yellow
K25361	yellow
K21568	yellow
K22661	yellow
C11526	yellow
K14310	yellow
K27199	yellow
K05218	yellow
K07437	yellow
K16943	yellow
K07529	yellow
K13861	yellow
K16287	yellow
K27833	yellow
K24091	yellow
K15713	yellow
K02472	blue
C20238	green
K08907	yellow
K07342	yellow
K04980	yellow
K09899	blue
K25545	yellow
K09291	yellow
K24183	yellow
K25812	yellow
C06113	green
K05239	yellow
K17768	yellow
K01241	blue
K27750	yellow
K12607	yellow
K18060	yellow
C11545	blue
K02940	yellow
K13716	yellow
K11093	yellow
K00124	blue
K02977	yellow
K24006	yellow
