	0
K01538	yellow
C16545	yellow
K22810	yellow
K21760	yellow
K27173	yellow
K03797	green
K24785	yellow
K16274	yellow
K21575	blue
K13169	yellow
K27140	yellow
K12191	yellow
K10139	yellow
K11259	yellow
K14315	yellow
K04009	yellow
K07462	blue
K13204	yellow
K16756	yellow
K15599	blue
K01858	green
K12964	yellow
K03939	yellow
K18264	yellow
K09660	yellow
K00169	blue
K03349	yellow
K16251	yellow
K13237	yellow
K07619	yellow
K06592	yellow
K27393	yellow
K23455	yellow
K12571	yellow
K09540	yellow
K20058	yellow
K01180	yellow
K14293	yellow
C00074	green
K08404	yellow
K02266	yellow
K13514	yellow
C02843	green
K01384	yellow
K21121	yellow
K02098	yellow
K02891	yellow
K16794	yellow
K27175	yellow
K19471	yellow
K25715	yellow
K04838	yellow
K03768	green
C00410	green
K16972	yellow
K16586	yellow
K22940	yellow
C06188	blue
K26680	yellow
K05207	yellow
K14445	green
K24732	yellow
C11133	yellow,orange
K17016	yellow
K12862	yellow
K25711	yellow
K09580	yellow
K23211	yellow
K01881	green
K04023	blue
K22459	yellow
K23437	yellow
K08061	yellow
K13222	yellow
C01035	yellow
K11499	yellow
K02817	blue
K05356	yellow
C04919	green
K05343	blue
K14797	yellow
K04645	yellow
K20285	yellow
K09448	yellow
K18711	yellow
K11832	yellow
K09392	yellow
K20183	yellow
K17601	yellow
K20031	yellow
K01776	blue
K13296	yellow
K00880	blue
K02320	yellow
K08276	blue
K04121	yellow
K09561	yellow
K23583	yellow
K24728	yellow
K02212	yellow
K03723	blue
G00317	green
K17867	yellow
C14851	yellow
K10570	yellow
K02279	blue
K08892	yellow
K05862	yellow
K03143	yellow
K10369	yellow
K17697	yellow
K26092	yellow
K12405	yellow
K08816	yellow
K15120	yellow
K00009	blue
C01211	yellow
C00166	green
K11363	yellow
K02640	yellow
K11317	yellow
K10669	yellow
C05202	yellow
K02413	blue
K16676	yellow
K03434	yellow
C04732	green
K05181	yellow
K01544	yellow
K20627	blue
K03126	yellow
K04393	yellow
K23718	yellow
K06589	yellow
C01697	yellow
K02315	blue
K20294	yellow
K05459	yellow
K16607	yellow
C00232	yellow
K26418	yellow
C05109	yellow
C01092	green,orange
K20251	yellow
K01302	yellow
K15380	yellow
K22765	yellow
K06798	yellow
K01695	green
C20159	yellow
K22285	yellow
K10887	yellow
K09861	blue
K02579	yellow
K02985	yellow
K02221	green
K17442	yellow
K04574	yellow
K09098	yellow
K00121	yellow
K14325	yellow
C00493	yellow
K25203	yellow
K17653	yellow
K24782	yellow
K01131	yellow
K17408	yellow
C01678	yellow
K16741	yellow
K03861	yellow
K06837	yellow
K14222	yellow
K03024	yellow
K22582	yellow
K01119	blue
K00533	blue
K08125	yellow
K09055	yellow
K23332	yellow
K04961	yellow
K20176	yellow
K07918	yellow
K20878	yellow
K25446	yellow
K06094	yellow
K14662	yellow
K22402	yellow
K19485	yellow
K04185	yellow
