	0
K01613	blue
K03614	blue
K16089	blue
K03168	blue
C03127	blue
C16537	yellow
C01132	blue
K06915	blue
K04772	blue
K04485	blue
K13049	blue
C00683	blue
C22438	blue
K05881	blue
K06937	blue
C01118	blue
K02113	blue
K06284	blue
K00097	blue
K09955	blue
K03292	blue
K12974	blue
C20858	blue
C05824	blue
K02483	blue
K03306	blue
K07089	blue
K15583	blue
K11312	blue
K16363	blue
K05571	blue
K03469	blue
K13038	blue
K01079	blue
K19971	blue
C00039	blue
K07271	blue
C02051	blue
K13570	blue
C01176	blue
C04233	blue
K02355	blue
K03269	blue
K04067	blue
C01641	blue
C06503	blue
C03363	blue
K06165	blue
K02800	blue
K19956	blue
K02003	blue
K02956	blue
C11481	blue
C13861	yellow
K01715	blue
C11404	blue
C06128	blue
K02899	blue
K06399	blue
K01703	blue
K09121	blue
K03704	blue
C03375	blue
K00045	blue
K01903	blue
K01893	blue
C04462	blue
C00037	green
C04287	blue
K00005	blue
K06397	blue
K03645	blue
K02069	blue
C00231	blue
C00647	blue
K02909	blue
K14445	blue
K03410	blue
K06861	blue
C00704	blue
C00329	yellow
C03294	blue
C01180	yellow
K00625	blue
C01187	blue
C05851	yellow
K01934	blue
K22477	blue
K00897	blue
C02465	yellow
K02948	blue
C18796	blue
C04294	green
K08223	blue
C01345	blue
K01812	blue
K02071	blue
K03088	blue
K03637	blue
C21152	blue
C05640	blue
K02904	blue
C00385	green
K07259	blue
C01096	blue
C04582	blue
C00829	yellow
C02946	blue
K03778	blue
C08316	yellow
K15396	blue
C05396	blue
K05816	blue
K00004	blue
C02702	blue
C06251	blue
K03698	blue
C05335	blue
C04006	blue
C19745	blue
K09767	blue
K07166	blue
K01784	blue
K01235	blue
C01424	yellow
K01744	blue
K05919	blue
K09789	blue
K01191	blue
K00290	blue
K01156	blue
K01192	blue
C00069	blue
K03177	blue
K03741	blue
K06173	blue
K01778	blue
C20641	blue
K01590	blue
C00475	green
K01507	blue
K01818	blue
K07056	blue
C20751	blue
C02163	blue
C02282	blue
K00196	blue
C16631	blue
K08998	blue
K01918	blue
C02741	blue
C00120	blue
K09825	blue
K03564	blue
K02057	blue
K06148	blue
C00582	blue
C15547	blue
K22736	blue
K02548	blue
K00036	blue
K02558	blue
K03521	blue
K06919	blue
C00092	blue
K02018	blue
K04096	blue
K05606	blue
K03043	blue
K11924	blue
K05934	blue
C20769	blue
K02527	blue
K03820	blue
K01046	blue
K07043	blue
C01045	blue
C00169	blue
C00380	green
K06406	blue
C00369	blue
C06311	blue
K11069	blue
K07095	blue
C06423	green
K07735	blue
K03711	blue
