compound1,compound2,reaction,KOs
C00083,C00010,R01626,"K00645,K00665,K00668,K11533,K13935"
C00083,C01209,R01626,"K00645,K00665,K00668,K11533,K13935"
C00229,C00010,R01626,"K00645,K00665,K00668,K11533,K13935"
C00229,C01209,R01626,"K00645,K00665,K00668,K11533,K13935"
C20933,C21991,R12197,K02560
C20933,C00229,R12197,K02560
C15974,C15975,R07602,"K00166,K00167,K11381"
C15974,C00068,R07602,"K00166,K00167,K11381"
C15972,C15975,R07602,"K00166,K00167,K11381"
C15972,C00068,R07602,"K00166,K00167,K11381"
C00002,C00013,R07770,"K03800,K23756"
C00002,C16238,R07770,"K03800,K23756"
C00979,C00097,R00897,"K01738,K10150,K13034,K17069"
C00979,C00033,R00897,"K01738,K10150,K13034,K17069"
C00283,C00097,R00897,"K01738,K10150,K13034,K17069"
C00283,C00033,R00897,"K01738,K10150,K13034,K17069"
C04046,C06040,R04377,"K03429,K19004"
C04046,C00015,R04377,"K03429,K19004"
C00029,C06040,R04377,"K03429,K19004"
C00029,C00015,R04377,"K03429,K19004"
C00051,C14803,R07023,"K00799,K04097,K13299,K23790"
C00002,C00008,R04779,"K00850,K16370,K21071,K24182"
C00002,C05378,R04779,"K00850,K16370,K21071,K24182"
C05345,C00008,R04779,"K00850,K16370,K21071,K24182"
C05345,C05378,R04779,"K00850,K16370,K21071,K24182"
C00671,C15980,R03171,"K00166,K00167,K00382,K09699,K11381"
C00671,C00011,R03171,"K00166,K00167,K00382,K09699,K11381"
C00671,C00004,R03171,"K00166,K00167,K00382,K09699,K11381"
C00671,C00080,R03171,"K00166,K00167,K00382,K09699,K11381"
C00010,C15980,R03171,"K00166,K00167,K00382,K09699,K11381"
C00010,C00011,R03171,"K00166,K00167,K00382,K09699,K11381"
C00010,C00004,R03171,"K00166,K00167,K00382,K09699,K11381"
C00010,C00080,R03171,"K00166,K00167,K00382,K09699,K11381"
C00003,C15980,R03171,"K00166,K00167,K00382,K09699,K11381"
C00003,C00011,R03171,"K00166,K00167,K00382,K09699,K11381"
C00003,C00004,R03171,"K00166,K00167,K00382,K09699,K11381"
C00003,C00080,R03171,"K00166,K00167,K00382,K09699,K11381"
C00001,C00095,R06087,"K01187,K01203,K12047"
C00001,C00031,R06087,"K01187,K01203,K12047"
C00148,C03912,R01253,"K00318,K13821"
C00148,C15603,R01253,"K00318,K13821"
C15602,C03912,R01253,"K00318,K13821"
C15602,C15603,R01253,"K00318,K13821"
C00001,C16469,R08093,"K01692,K01782,K01825"
C02463,C00021,R03948,"K03394,K13540"
C02463,C05772,R03948,"K03394,K13540"
C02463,C00080,R03948,"K03394,K13540"
C00001,C04043,R04300,"K00274,K00276,K13371,K13372,K25271,K25272"
C00001,C00014,R04300,"K00274,K00276,K13371,K13372,K25271,K25272"
C00001,C00027,R04300,"K00274,K00276,K13371,K13372,K25271,K25272"
C00007,C04043,R04300,"K00274,K00276,K13371,K13372,K25271,K25272"
C00007,C00014,R04300,"K00274,K00276,K13371,K13372,K25271,K25272"
C00007,C00027,R04300,"K00274,K00276,K13371,K13372,K25271,K25272"
C20751,C20752,R10649,"K15865,K18707"
C20751,C00021,R10649,"K15865,K18707"
C20751,C00073,R10649,"K15865,K18707"
C20751,C05198,R10649,"K15865,K18707"
C00016,C03221,R03857,"K00232,K00249,K00255,K06445"
C00016,C01352,R03857,"K00232,K00249,K00255,K06445"
C05993,C00020,R00236,"K01895,K01913"
C05993,C00024,R00236,"K01895,K01913"
C00010,C00020,R00236,"K01895,K01913"
C00010,C00024,R00236,"K01895,K01913"
C00008,C00020,R10822,K10747
C00008,C00009,R10822,K10747
C00008,C00039,R10822,K10747
C00039,C00020,R10822,K10747
C00039,C00009,R10822,K10747
C00039,C00039,R10822,K10747
C00251,C11355,R01716,"K01664,K01665,K03342,K13950"
C00251,C00025,R01716,"K01664,K01665,K03342,K13950"
C00064,C11355,R01716,"K01664,K01665,K03342,K13950"
C00064,C00025,R01716,"K01664,K01665,K03342,K13950"
C00002,C00013,R00161,"K00953,K11753,K14656,K22949"
C00002,C00016,R00161,"K00953,K11753,K14656,K22949"
C00061,C00013,R00161,"K00953,K11753,K14656,K22949"
C00061,C00016,R00161,"K00953,K11753,K14656,K22949"
C02995,C00208,R10486,K06896
C02995,C00009,R10486,K06896
C00001,C00208,R10486,K06896
C00001,C00009,R10486,K06896
C00002,C00008,R00513,"K00876,K21057,K22026"
C00002,C00055,R00513,"K00876,K21057,K22026"
C00475,C00008,R00513,"K00876,K21057,K22026"
C00475,C00055,R00513,"K00876,K21057,K22026"
C00002,C00020,R03650,"K01883,K01884"
C00002,C00013,R03650,"K01883,K01884"
C00002,C03125,R03650,"K01883,K01884"
C00097,C00020,R03650,"K01883,K01884"
C00097,C00013,R03650,"K01883,K01884"
C00097,C03125,R03650,"K01883,K01884"
C00003,C03344,R04203,"K00022,K01782,K01825,K07514,K08683"
C00003,C00004,R04203,"K00022,K01782,K01825,K07514,K08683"
C00003,C00080,R04203,"K00022,K01782,K01825,K07514,K08683"
C00155,C00021,R00650,K00547
C00155,C00073,R00650,K00547
C20239,C20248,R10002,K10026
C20239,C00014,R10002,K10026
C00136,C00246,R01365,"K01034,K01035"
C00136,C00332,R01365,"K01034,K01035"
C00164,C00246,R01365,"K01034,K01035"
C00164,C00332,R01365,"K01034,K01035"
C00513,C00055,R12806,K09809
C00513,C22411,R12806,K09809
C00005,C00120,R10127,K08351
C00005,C00006,R10127,K08351
C00005,C00001,R10127,K08351
C00080,C00120,R10127,K08351
C00080,C00006,R10127,K08351
C00080,C00001,R10127,K08351
C00002,C00008,R00158,"K09903,K13800,K13809"
C00002,C00015,R00158,"K09903,K13800,K13809"
C00105,C00008,R00158,"K09903,K13800,K13809"
C00105,C00015,R00158,"K09903,K13800,K13809"
C22337,C00111,R12696,"K01628,K01636"
C22337,C00266,R12696,"K01628,K01636"
C00439,C00025,R02285,K01479
C00439,C00488,R02285,K01479
C00001,C00025,R02285,K01479
C00001,C00488,R02285,K01479
C00002,C00008,R10948,"K01954,K01955,K01956,K11540,K11541"
C00002,C20969,R10948,"K01954,K01955,K01956,K11540,K11541"
C00006,C05754,R04962,"K00208,K00665,K00668,K07512,K10780"
C00006,C00005,R04962,"K00208,K00665,K00668,K07512,K10780"
C00006,C00080,R04962,"K00208,K00665,K00668,K07512,K10780"
C05345,C00279,R01830,K00615
C05345,C00231,R01830,K00615
C00118,C00279,R01830,K00615
C00118,C00231,R01830,K00615
C18237,C19871,R11581,"K03752,K13818"
C18237,C00013,R11581,"K03752,K13818"
C00044,C19871,R11581,"K03752,K13818"
C00044,C00013,R11581,"K03752,K13818"
C03296,C03415,R04189,K01484
C03296,C00011,R04189,K01484
C03296,C00014,R04189,K01484
C00001,C03415,R04189,K01484
C00001,C00011,R04189,K01484
C00001,C00014,R04189,K01484
C00051,C11583,R08280,"K00799,K04097,K13299,K23790"
C00051,C00001,R08280,"K00799,K04097,K13299,K23790"
C04442,C00118,R05605,"K01625,K11395,K17463"
C04442,C00022,R05605,"K01625,K11395,K17463"
C00014,C00088,R05712,"K03385,K04016,K15876"
C00014,C00126,R05712,"K03385,K04016,K15876"
C00014,C00080,R05712,"K03385,K04016,K15876"
C00001,C00088,R05712,"K03385,K04016,K15876"
C00001,C00126,R05712,"K03385,K04016,K15876"
C00001,C00080,R05712,"K03385,K04016,K15876"
C00125,C00088,R05712,"K03385,K04016,K15876"
C00125,C00126,R05712,"K03385,K04016,K15876"
C00125,C00080,R05712,"K03385,K04016,K15876"
C00003,C00166,R01370,"K13574,K18606,K23109"
C00003,C00004,R01370,"K13574,K18606,K23109"
C00003,C00080,R01370,"K13574,K18606,K23109"
C00132,C03920,R09098,"K04480,K14080,K14081"
C00132,C00001,R09098,"K04480,K14080,K14081"
C03576,C03920,R09098,"K04480,K14080,K14081"
C03576,C00001,R09098,"K04480,K14080,K14081"
C00002,C00008,R00332,K00942
C00002,C00035,R00332,K00942
C00144,C00008,R00332,K00942
C00144,C00035,R00332,K00942
C00006,C00061,R05706,"K00299,K13562,K19285,K19286"
C00006,C00005,R05706,"K00299,K13562,K19285,K19286"
C00006,C00080,R05706,"K00299,K13562,K19285,K19286"
C00010,C00512,R05506,K00632
C00010,C00024,R05506,K00632
C00002,C02051,R12433,K03800
C00002,C00020,R12433,K03800
C00002,C00013,R12433,K03800
C00024,C00010,R00238,"K00626,K00632,K07508,K07509,K07513"
C00024,C00332,R00238,"K00626,K00632,K07508,K07509,K07513"
C00006,C05760,R04967,"K00208,K00665,K00668,K07512,K10780"
C00006,C00005,R04967,"K00208,K00665,K00668,K07512,K10780"
C00006,C00080,R04967,"K00208,K00665,K00668,K07512,K10780"
C00185,C00103,R00952,K00702
C00185,C00031,R00952,K00702
C00009,C00103,R00952,K00702
C00009,C00031,R00952,K00702
C00350,C04438,R02053,"K01047,K01058,K14621,K14674,K16342,K16343,K16817"
C00350,C00162,R02053,"K01047,K01058,K14621,K14674,K16342,K16343,K16817"
C00001,C04438,R02053,"K01047,K01058,K14621,K14674,K16342,K16343,K16817"
C00001,C00162,R02053,"K01047,K01058,K14621,K14674,K16342,K16343,K16817"
C00002,C00008,R00847,K00864
C00002,C00093,R00847,K00864
C00116,C00008,R00847,K00864
C00116,C00093,R00847,K00864
C00002,C00008,R01639,K00854
C00002,C00231,R01639,K00854
C00310,C00008,R01639,K00854
C00310,C00231,R01639,K00854
C03785,C00111,R01069,"K01635,K08302,K16371"
C03785,C00118,R01069,"K01635,K08302,K16371"
C03167,C00084,R00747,K05306
C03167,C00009,R00747,K05306
C00001,C00084,R00747,K05306
C00001,C00009,R00747,K05306
C00002,C00020,R04773,K01874
C00002,C00013,R04773,K01874
C00002,C05336,R04773,K01874
C05335,C00020,R04773,K01874
C05335,C00013,R04773,K01874
C05335,C05336,R04773,K01874
C00005,C21438,R11525,K18221
C00005,C00006,R11525,K18221
C00005,C00001,R11525,K18221
C00080,C21438,R11525,K18221
C00080,C00006,R11525,K18221
C00080,C00001,R11525,K18221
C00007,C21438,R11525,K18221
C00007,C00006,R11525,K18221
C00007,C00001,R11525,K18221
C00392,C00615,R02704,"K02798,K02800"
C00392,C00644,R02704,"K02798,K02800"
C00003,C05267,R04745,"K00022,K01782,K01825,K07514,K07515,K07516,K10527"
C00003,C00004,R04745,"K00022,K01782,K01825,K07514,K07515,K07516,K10527"
C00003,C00080,R04745,"K00022,K01782,K01825,K07514,K07515,K07516,K10527"
C00044,C00286,R11633,K21636
C00044,C00011,R11633,K21636
C00044,C00001,R11633,K21636
C00058,C00286,R11633,K21636
C00058,C00011,R11633,K21636
C00058,C00001,R11633,K21636
C00001,C00031,R00837,"K01226,K01232"
C00001,C00092,R00837,"K01226,K01232"
C00689,C00031,R00837,"K01226,K01232"
C00689,C00092,R00837,"K01226,K01232"
C00002,C00008,R00086,"K01509,K01510,K06928,K14641,K14642"
C00002,C00009,R00086,"K01509,K01510,K06928,K14641,K14642"
C00001,C00008,R00086,"K01509,K01510,K06928,K14641,K14642"
C00001,C00009,R00086,"K01509,K01510,K06928,K14641,K14642"
C00003,C02835,R04065,"K00128,K00149,K14085"
C00003,C00004,R04065,"K00128,K00149,K14085"
C00003,C00080,R04065,"K00128,K00149,K14085"
C00001,C02835,R04065,"K00128,K00149,K14085"
C00001,C00004,R04065,"K00128,K00149,K14085"
C00001,C00080,R04065,"K00128,K00149,K14085"
C02798,C03167,R04053,K09459
C02798,C00011,R04053,K09459
C05897,C05898,R05032,K02563
C05897,C00015,R05032,K02563
C00043,C05898,R05032,K02563
C00043,C00015,R05032,K02563
C00002,C00008,R01541,"K00874,K18126"
C00002,C04442,R01541,"K00874,K18126"
C00204,C00008,R01541,"K00874,K18126"
C00204,C04442,R01541,"K00874,K18126"
C00001,C05817,R04031,"K02549,K14759"
C00002,C00013,R00316,"K01895,K01913"
C00002,C05993,R00316,"K01895,K01913"
C00033,C00013,R00316,"K01895,K01913"
C00033,C05993,R00316,"K01895,K01913"
C00138,C06547,R05496,"K00531,K02586,K02588,K02591"
C00138,C00139,R05496,"K00531,K02586,K02588,K02591"
C00138,C00008,R05496,"K00531,K02586,K02588,K02591"
C00138,C00009,R05496,"K00531,K02586,K02588,K02591"
C00080,C06547,R05496,"K00531,K02586,K02588,K02591"
C00080,C00139,R05496,"K00531,K02586,K02588,K02591"
C00080,C00008,R05496,"K00531,K02586,K02588,K02591"
C00080,C00009,R05496,"K00531,K02586,K02588,K02591"
C00002,C06547,R05496,"K00531,K02586,K02588,K02591"
C00002,C00139,R05496,"K00531,K02586,K02588,K02591"
C00002,C00008,R05496,"K00531,K02586,K02588,K02591"
C00002,C00009,R05496,"K00531,K02586,K02588,K02591"
C00001,C06547,R05496,"K00531,K02586,K02588,K02591"
C00001,C00139,R05496,"K00531,K02586,K02588,K02591"
C00001,C00008,R05496,"K00531,K02586,K02588,K02591"
C00001,C00009,R05496,"K00531,K02586,K02588,K02591"
C19878,C19879,R09770,K07031
C19878,C00008,R09770,K07031
C00002,C19879,R09770,K07031
C00002,C00008,R09770,K07031
C00091,C00010,R00832,K00673
C00091,C03296,R00832,K00673
C00062,C00010,R00832,K00673
C00062,C03296,R00832,K00673
C00283,C00097,R07274,"K01738,K10150"
C00283,C00009,R07274,"K01738,K10150"
C00002,C00020,R03595,K01008
C00002,C05172,R03595,K01008
C00002,C00009,R03595,K01008
C01528,C00020,R03595,K01008
C01528,C05172,R03595,K01008
C01528,C00009,R03595,K01008
C00001,C00020,R03595,K01008
C00001,C05172,R03595,K01008
C00001,C00009,R03595,K01008
C00063,C00013,R00956,K00978
C00063,C00501,R00956,K00978
C00103,C00013,R00956,K00978
C00103,C00501,R00956,K00978
C04732,C04332,R04457,K00794
C04732,C00001,R04457,K00794
C04732,C00009,R04457,K00794
C15556,C04332,R04457,K00794
C15556,C00001,R04457,K00794
C15556,C00009,R04457,K00794
C00001,C00217,R01579,"K01425,K05597,K23265"
C00001,C00014,R01579,"K01425,K05597,K23265"
C00004,C03313,R03816,"K00355,K03809,K19267"
C00004,C00003,R03816,"K00355,K03809,K19267"
C00080,C03313,R03816,"K00355,K03809,K19267"
C00080,C00003,R03816,"K00355,K03809,K19267"
C01209,C05746,R04952,"K00647,K00665,K00667,K09458,K11533"
C01209,C00011,R04952,"K00647,K00665,K00667,K09458,K11533"
C01209,C00229,R04952,"K00647,K00665,K00667,K09458,K11533"
C00006,C05756,R04964,"K00059,K00665,K00667,K11533,K11539"
C00006,C00005,R04964,"K00059,K00665,K00667,K11533,K11539"
C00006,C00080,R04964,"K00059,K00665,K00667,K11533,K11539"
C21153,C00194,R11173,K02226
C21153,C00009,R11173,K02226
C00001,C00194,R11173,K02226
C00001,C00009,R11173,K02226
C00003,C04654,R13041,"K07119,K13948,K13949"
C00003,C00004,R13041,"K07119,K13948,K13949"
C00003,C00080,R13041,"K07119,K13948,K13949"
C00006,C04654,R13042,"K07119,K13948,K13949"
C00006,C00005,R13042,"K07119,K13948,K13949"
C00006,C00080,R13042,"K07119,K13948,K13949"
C00068,C01081,R00615,"K06928,K06949"
C00068,C00009,R00615,"K06928,K06949"
C00001,C01081,R00615,"K06928,K06949"
C00001,C00009,R00615,"K06928,K06949"
C06006,C14463,R05069,K00053
C16471,C03069,R08095,K00632
C16471,C00024,R08095,K00632
C00010,C03069,R08095,K00632
C00010,C00024,R08095,K00632
C00003,C01181,R03283,"K00128,K00149,K14085"
C00003,C00004,R03283,"K00128,K00149,K14085"
C00003,C00080,R03283,"K00128,K00149,K14085"
C00001,C01181,R03283,"K00128,K00149,K14085"
C00001,C00004,R03283,"K00128,K00149,K14085"
C00001,C00080,R03283,"K00128,K00149,K14085"
C00003,C14090,R06917,"K00001,K00121,K04072,K13953,K13954"
C00003,C00004,R06917,"K00001,K00121,K04072,K13953,K13954"
C00003,C00080,R06917,"K00001,K00121,K04072,K13953,K13954"
C00003,C00153,R10634,"K11121,K11411,K11412,K11413,K11414,K11415,K11416,K11417,K12410"
C00003,C02188,R10634,"K11121,K11411,K11412,K11413,K11414,K11415,K11416,K11417,K12410"
C00003,C20658,R10634,"K11121,K11411,K11412,K11413,K11414,K11415,K11416,K11417,K12410"
C00003,C00080,R10634,"K11121,K11411,K11412,K11413,K11414,K11415,K11416,K11417,K12410"
C00001,C00153,R10634,"K11121,K11411,K11412,K11413,K11414,K11415,K11416,K11417,K12410"
C00001,C02188,R10634,"K11121,K11411,K11412,K11413,K11414,K11415,K11416,K11417,K12410"
C00001,C20658,R10634,"K11121,K11411,K11412,K11413,K11414,K11415,K11416,K11417,K12410"
